Group;Virus;Hemisphere;Timepoint;cFos
L-hM3Dq-;hM3Dq-;L-LC;45min;1.149425287
L-hM3Dq-;hM3Dq-;L-LC;45min;1.219512195
L-hM3Dq-;hM3Dq-;L-LC;45min;0
L-hM3Dq-;hM3Dq-;L-LC;45min;2.564102564
L-hM3Dq-;hM3Dq-;L-LC;45min;4.87804878
L-hM3Dq-;hM3Dq-;L-LC;45min;0
R-hM3Dq-;hM3Dq-;R-LC;45min;0.925925926
R-hM3Dq-;hM3Dq-;R-LC;45min;0
R-hM3Dq-;hM3Dq-;R-LC;45min;0
R-hM3Dq-;hM3Dq-;R-LC;45min;0.793650794
R-hM3Dq-;hM3Dq-;R-LC;45min;0
R-hM3Dq-;hM3Dq-;R-LC;45min;0.81300813
L-hM3Dq+;hM3Dq+;L-LC;45min;77.04918033
L-hM3Dq+;hM3Dq+;L-LC;45min;70.94017094
L-hM3Dq+;hM3Dq+;L-LC;45min;62.96296296
L-hM3Dq+;hM3Dq+;L-LC;45min;78.35820896
L-hM3Dq+;hM3Dq+;L-LC;45min;42.10526316
L-hM3Dq+;hM3Dq+;L-LC;45min;69.09090909
L-hM3Dq+;hM3Dq+;L-LC;45min;69.92481203
L-hM3Dq+;hM3Dq+;L-LC;45min;89.24731183
R-hM3Dq+;hM3Dq+;R-LC;45min;71.68141593
R-hM3Dq+;hM3Dq+;R-LC;45min;68.42105263
R-hM3Dq+;hM3Dq+;R-LC;45min;63.85542169
R-hM3Dq+;hM3Dq+;R-LC;45min;51.07526882
R-hM3Dq+;hM3Dq+;R-LC;45min;70.0729927
R-hM3Dq+;hM3Dq+;R-LC;45min;74.7826087
R-hM3Dq+;hM3Dq+;R-LC;45min;63.04347826
