Gene;Group;Region;Expression
Apold1;Vehicle;dHC;118.3591394
Apold1;Vehicle;dHC;108.9483209
Apold1;Vehicle;dHC;75.16589584
Apold1;Vehicle;dHC;88.92016891
Apold1;Vehicle;dHC;109.9135331
Apold1;Vehicle;dHC;98.69294189
Apold1;Isoprotenerol;dHC;1381.339232
Apold1;Isoprotenerol;dHC;1154.876332
Apold1;Isoprotenerol;dHC;1153.549165
Apold1;Vehicle;vHC;129.009009
Apold1;Vehicle;vHC;210.0900901
Apold1;Vehicle;vHC;56.3963964
Apold1;Vehicle;vHC;60.36036036
Apold1;Vehicle;vHC;82.61261261
Apold1;Vehicle;vHC;66.48648649
Apold1;Vehicle;vHC;95.13513514
Apold1;Isoprotenerol;vHC;226.2162162
Apold1;Isoprotenerol;vHC;1203.513514
Apold1;Isoprotenerol;vHC;699.2792793
Apold1;Isoprotenerol;vHC;160.5405405
Apold1;Isoprotenerol;vHC;87.38738739
Sik1;Vehicle;dHC;153.2926225
Sik1;Vehicle;dHC;73.47747153
Sik1;Vehicle;dHC;226.4730153
Sik1;Vehicle;dHC;93.57979865
Sik1;Vehicle;dHC;38.12510315
Sik1;Vehicle;dHC;15.05198878
Sik1;Isoprotenerol;dHC;677.9336524
Sik1;Isoprotenerol;dHC;851.1305496
Sik1;Isoprotenerol;dHC;617.3295923
Sik1;Vehicle;vHC;80.44642857
Sik1;Vehicle;vHC;180.625
Sik1;Vehicle;vHC;72.32142857
Sik1;Vehicle;vHC;37.32142857
Sik1;Vehicle;vHC;146.4285714
Sik1;Vehicle;vHC;114.2857143
Sik1;Vehicle;vHC;68.48214286
Sik1;Isoprotenerol;vHC;152.4107143
Sik1;Isoprotenerol;vHC;638.5714286
Sik1;Isoprotenerol;vHC;676.5178571
Sik1;Isoprotenerol;vHC;362.5892857
Sik1;Isoprotenerol;vHC;47.85714286
Dio2;Vehicle;dHC;103.4844027
Dio2;Vehicle;dHC;173.6376745
Dio2;Vehicle;dHC;135.9189556
Dio2;Vehicle;dHC;25.16365406
Dio2;Vehicle;dHC;135.6052787
Dio2;Vehicle;dHC;109.5113199
Dio2;Vehicle;dHC;16.67871453
Dio2;Isoprotenerol;dHC;146.011298
Dio2;Isoprotenerol;dHC;206.2527477
Dio2;Isoprotenerol;dHC;160.5192892
Dio2;Vehicle;vHC;54.75247525
Dio2;Vehicle;vHC;175.1732673
Dio2;Vehicle;vHC;136.9678218
Dio2;Vehicle;vHC;111.4975248
Dio2;Vehicle;vHC;104.3935644
Dio2;Vehicle;vHC;53.01980198
Dio2;Vehicle;vHC;64.19554455
Dio2;Isoprotenerol;vHC;178.2054455
Dio2;Isoprotenerol;vHC;303.9108911
Dio2;Isoprotenerol;vHC;93.6509901
Dio2;Isoprotenerol;vHC;80.13613861
Dio2;Isoprotenerol;vHC;67.48762376
Ppp1r3c;Vehicle;dHC;61.70790152
Ppp1r3c;Vehicle;dHC;115.4173789
Ppp1r3c;Vehicle;dHC;145.2488901
Ppp1r3c;Vehicle;dHC;49.66129563
Ppp1r3c;Vehicle;dHC;161.3500255
Ppp1r3c;Vehicle;dHC;108.4372531
Ppp1r3c;Vehicle;dHC;58.1772553
Ppp1r3c;Isoprotenerol;dHC;114.0916972
Ppp1r3c;Isoprotenerol;dHC;351.5005969
Ppp1r3c;Isoprotenerol;dHC;157.3009234
Ppp1r3c;Vehicle;vHC;88.78060412
Ppp1r3c;Vehicle;vHC;128.9355202
Ppp1r3c;Vehicle;vHC;106.8052895
Ppp1r3c;Vehicle;vHC;90.12399037
Ppp1r3c;Vehicle;vHC;104.9704385
Ppp1r3c;Vehicle;vHC;80.38415729
Ppp1r3c;Isoprotenerol;vHC;118.2343934
Ppp1r3c;Isoprotenerol;vHC;601.3964829
Ppp1r3c;Isoprotenerol;vHC;166.2456315
Ppp1r3c;Isoprotenerol;vHC;114.735865
Ppp1r3c;Isoprotenerol;vHC;76.93168242
Cyr61;Vehicle;dHC;69.24019608
Cyr61;Vehicle;dHC;98.89705882
Cyr61;Vehicle;dHC;110.9068627
Cyr61;Vehicle;dHC;98.7745098
Cyr61;Vehicle;dHC;122.1813725
Cyr61;Isoprotenerol;dHC;183.5784314
Cyr61;Isoprotenerol;dHC;201.5931373
Cyr61;Isoprotenerol;dHC;758.5784314
Cyr61;Vehicle;vHC;189.5664952
Cyr61;Vehicle;vHC;47.83247612
Cyr61;Vehicle;vHC;65.57678178
Cyr61;Vehicle;vHC;151.6531962
Cyr61;Vehicle;vHC;78.3614989
Cyr61;Vehicle;vHC;67.0095518
Cyr61;Isoprotenerol;vHC;798.6039677
Cyr61;Isoprotenerol;vHC;683.2108744
Cyr61;Isoprotenerol;vHC;93.13005143
Cyr61;Isoprotenerol;vHC;84.20279206
