Group,Virus,Timepoint,Animal,MHPG,NA,MHPG-NA,Dopac,DA,HVA,HVA-DA
ChR2_45,ChR2+,45min,342,57.734,320.58,0.18,61.669,293.906,84.262,0.287
ChR2_45,ChR2+,45min,379,49.165,146.521,0.336,57.279,164.085,70.359,0.429
ChR2_45,ChR2+,45min,359,62.991,180.878,0.348,60.446,143.04,73.84,0.516
ChR2_45,ChR2+,45min,337,74.626,226.842,0.329,78.635,244.737,91.36,0.373
ChR2_45,ChR2+,45min,358,51.776,122.68,0.422,69.388,270.682,104.804,0.387
ChR2_45,ChR2+,45min,360,74.276,319.361,0.233,71.083,283.176,100.468,0.355
Ctrl_45,ChR2-,45min,382,46.875,305.543,0.153,46.656,196.117,64.386,0.328
Ctrl_45,ChR2-,45min,344,50.353,307.19,0.164,55.632,227.569,54.912,0.241
Ctrl_45,ChR2-,45min,368,51.698,327.928,0.158,41.385,233.072,53.417,0.229
Ctrl_45,ChR2-,45min,348,46.72,247.626,0.189,57.169,286.109,74.054,0.259
Ctrl_45,ChR2-,45min,347,61.45,342.165,0.18,51.2,218.157,73.727,0.338
ChR2_90,ChR2+,90min,372,67.752,333.354,0.203,48.894,137.455,57.575,0.419
ChR2_90,ChR2+,90min,343,69.483,276.097,0.252,68.471,236.029,81.459,0.345
ChR2_90,ChR2+,90min,357,58.143,290.593,0.2,61.984,279.696,77.405,0.277
ChR2_90,ChR2+,90min,336,71.901,276.466,0.26,99.781,311.048,131.66,0.423
ChR2_90,ChR2+,90min,376,60.405,167.632,0.36,72.465,249.432,87.611,0.351
Ctrl_90,ChR2-,90min,369,51.39,347.159,0.148,68.301,355.228,88.72,0.25
Ctrl_90,ChR2-,90min,384,38.683,248.465,0.156,63.807,245.333,88.891,0.362
Ctrl_90,ChR2-,90min,362,38.382,245.255,0.156,44.712,228.402,46.858,0.205
Ctrl_90,ChR2-,90min,349,52.622,345.366,0.152,51.751,222.449,58.354,0.262
Ctrl_90,ChR2-,90min,367,52.694,316.797,0.166,47.697,197.925,62.582,0.316
